Date : 2024-08-19 10:51:00
Directory : d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src
Total : 69 files,  9340 codes, 50 comments, 332 blanks, all 9722 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| vue        |         37 |      8,748 |          2 |        284 |      9,034 |
| JavaScript |         17 |        500 |         41 |         39 |        580 |
| CSS        |          1 |         78 |          7 |          9 |         94 |
| XML        |         14 |         14 |          0 |          0 |         14 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                |         69 |      9,340 |         50 |        332 |      9,722 |
| . (Files)                                                                                                                                        |          3 |        102 |         12 |         18 |        132 |
| api                                                                                                                                              |          9 |        204 |         19 |         18 |        241 |
| assets                                                                                                                                           |         14 |         14 |          0 |          0 |         14 |
| assets\icon                                                                                                                                      |         14 |         14 |          0 |          0 |         14 |
| components                                                                                                                                       |          1 |        374 |          0 |          7 |        381 |
| https                                                                                                                                            |          3 |         66 |         10 |          7 |         83 |
| router                                                                                                                                           |          1 |        149 |          1 |          5 |        155 |
| store                                                                                                                                            |          3 |         65 |          6 |          4 |         75 |
| view                                                                                                                                             |         35 |      8,366 |          2 |        273 |      8,641 |
| view (Files)                                                                                                                                     |          7 |      2,755 |          2 |         71 |      2,828 |
| view\Course                                                                                                                                      |          1 |        221 |          0 |          4 |        225 |
| view\Library                                                                                                                                     |         16 |        987 |          0 |         63 |      1,050 |
| view\Library\python                                                                                                                              |         16 |        987 |          0 |         63 |      1,050 |
| view\Library\python (Files)                                                                                                                      |         15 |        256 |          0 |         57 |        313 |
| view\Library\python\install                                                                                                                      |          1 |        731 |          0 |          6 |        737 |
| view\problem                                                                                                                                     |          2 |      1,129 |          0 |         25 |      1,154 |
| view\tool                                                                                                                                        |          9 |      3,274 |          0 |        110 |      3,384 |
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                         | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\App.vue                                                   | vue        |          8 |          0 |          4 |         12 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\competition.js                                        | JavaScript |         25 |          0 |          4 |         29 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\header.js                                             | JavaScript |          7 |          1 |          1 |          9 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\home.js                                               | JavaScript |          0 |          0 |          1 |          1 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\myProblem.js                                          | JavaScript |         75 |          8 |          1 |         84 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\problem.js                                            | JavaScript |         14 |          1 |          4 |         19 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\solution.js                                           | JavaScript |         30 |          3 |          3 |         36 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\store.js                                              | JavaScript |         10 |          1 |          1 |         12 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\user.js                                               | JavaScript |         15 |          2 |          2 |         19 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\workingArea.js                                        | JavaScript |         28 |          3 |          1 |         32 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsBackpackOutlineRounded.svg     | XML        |          1 |          0 |          0 |          1 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsBarChartRounded.svg            | XML        |          1 |          0 |          0 |          1 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsClarifyOutlineRounded.svg      | XML        |          1 |          0 |          0 |          1 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsContractEditRounded.svg        | XML        |          1 |          0 |          0 |          1 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsExitToAppRounded.svg           | XML        |          1 |          0 |          0 |          1 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsInfoOutlineRounded.svg         | XML        |          1 |          0 |          0 |          1 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsMarkChatReadOutlineRounded.svg | XML        |          1 |          0 |          0 |          1 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsMarkdownCopyOutlineRounded.svg | XML        |          1 |          0 |          0 |          1 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsMilitaryTechOutlineRounded.svg | XML        |          1 |          0 |          0 |          1 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsRewardedAdsOutlineRounded.svg  | XML        |          1 |          0 |          0 |          1 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsTerminalRounded.svg            | XML        |          1 |          0 |          0 |          1 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsTollOutlineRounded.svg         | XML        |          1 |          0 |          0 |          1 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsTrophyOutline.svg              | XML        |          1 |          0 |          0 |          1 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsVerifiedOutline.svg            | XML        |          1 |          0 |          0 |          1 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\components\Header.vue                                     | vue        |        374 |          0 |          7 |        381 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\https\request.js                                          | JavaScript |          6 |          0 |          3 |          9 |
| d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\https\requestWI.js                                        | JavaScript |         59 |         10 |          4 |         73 |
